Time,PowerGenerated,GearboxBearingTemperature,WindSpeed
2020-01-01 13:10:00+00:00,1176.213734,68.711283,7.857820705
2020-01-01 13:20:00+00:00,1282.205296,69.67695433,7.860034665
2020-01-01 13:30:00+00:00,1102.479936,68.36523811,7.70122972
2020-01-01 13:40:00+00:00,1173.755003,68.74504889,8.127344178
2020-01-01 13:50:00+00:00,1011.464742,67.778918,7.63423456
2020-01-01 14:00:00+00:00,817.6726961,66.05422513,7.073883044
2020-01-01 14:10:00+00:00,804.8492105,65.35452333,7.034483953
2020-01-01 14:20:00+00:00,646.6734389,65.351558,6.345405344
2020-01-01 14:30:00+00:00,668.951096,66.35850112,6.239984815
2020-01-01 14:40:00+00:00,643.0634661,66.6224844,6.451027572
2020-01-01 14:50:00+00:00,632.28914,67.17013875,6.535262979
2020-01-01 15:00:00+00:00,611.9585765,67.1808976,6.233799845
2020-01-01 15:10:00+00:00,805.8474,69.01318063,6.847316506
2020-01-01 15:20:00+00:00,892.9321895,69.274247,7.399674725
2020-01-01 15:30:00+00:00,678.2158558,66.38572,6.968331284
2020-01-01 15:40:00+00:00,756.8027363,65.41068644,6.914852368
2020-01-01 15:50:00+00:00,770.1803815,65.6560524,6.696314775
2020-01-01 16:00:00+00:00,829.7764924,67.20407067,6.996999782
2020-01-01 16:10:00+00:00,770.90842,68.26259513,6.665079815
2020-01-01 16:20:00+00:00,836.4382039,69.1052725,6.885916333
2020-01-01 16:30:00+00:00,1062.714887,68.90903313,7.6373197
